sentence,label,object_type,object,difficulty,subject_type,subject,template_id,split
Tegnap [VERB] almát.,indefinite,bare_noun,almát,easy,none,,train_none_002,train
Senkit a diák nem [VERB].,indefinite,negative_pronoun,senkit,tricky,noun,A diák,train_noun_005,train
Most [VERB] ezt a könyvet.,definite,demonstrative,ezt a könyvet,easy,none,,train_none_007,train
Tegnap [VERB] valakit.,indefinite,indefinite_pronoun,valakit,easy,none,,train_none_002,train
Gábor gyakran [VERB] az előadást.,definite,definite_article,az előadást,easy,noun,Gábor,train_noun_044,train
A diák [VERB] az egészet.,definite,definite_quantifier,az egészet,tricky,noun,A diák,train_noun_006,train
Néhányat gyakran [VERB].,indefinite,indefinite_pronoun,néhányat,tricky,none,,train_none_011,train
Amazt [VERB].,definite,demonstrative_pronoun,amazt,tricky,none,,train_none_008,train
Egy dolgot sem mi nem [VERB].,indefinite,negative_pronoun,egy dolgot sem,tricky,pronoun,Mi,train_pronoun_008,train
Este [VERB] ezt a könyvet.,definite,demonstrative,ezt a könyvet,easy,none,,train_none_006,train
Otthon [VERB] akárkit.,indefinite,indefinite_pronoun,akárkit,tricky,none,,train_none_004,train
Egy újságot tegnap [VERB].,indefinite,indefinite_article,egy újságot,easy,none,,train_none_010,train
Gyakran [VERB] akármit.,indefinite,indefinite_pronoun,akármit,tricky,none,,train_none_003,train
A szomszéd az iskolában [VERB] kevés hibát.,indefinite,quantified_indefinite_np,kevés hibát,medium,noun,A szomszéd,train_noun_021,train
Reggel [VERB] a többit.,definite,definite_quantifier,a többit,tricky,none,,train_none_005,train
Este [VERB] Lászlót.,definite,proper_noun,Lászlót,easy,none,,train_none_006,train
Minden egyes dolgot ma a tanár [VERB].,indefinite,universal_pronoun,minden egyes dolgot,tricky,noun,A tanár,train_noun_005,train
Tegnap [VERB] pár kérdést.,indefinite,quantified_indefinite_np,pár kérdést,medium,none,,train_none_002,train
Pár kérdést ma [VERB].,indefinite,quantified_indefinite_np,pár kérdést,medium,none,,train_none_009,train
Ők nem [VERB] semmifélét.,indefinite,negative_pronoun,semmifélét,tricky,pronoun,Ők,train_pronoun_009,train
Most [VERB] egy könyvet.,indefinite,indefinite_article,egy könyvet,easy,none,,train_none_007,train
Gyakran [VERB] magát.,definite,third_person_pronoun,magát,tricky,none,,train_none_003,train
Most [VERB] mindet.,definite,definite_quantifier,mindet,tricky,none,,train_none_007,train
Ezt a szülők [VERB].,definite,demonstrative_pronoun,ezt,tricky,noun,A szülők,train_noun_058,train
Gábor [VERB] mindenkit.,indefinite,universal_pronoun,mindenkit,tricky,noun,Gábor,train_noun_042,train
Egy filmet gyakran [VERB].,indefinite,indefinite_article,egy filmet,easy,none,,train_none_011,train
Most [VERB] a filmet.,definite,definite_article,a filmet,easy,none,,train_none_007,train
[VERB] kevés hibát.,indefinite,quantified_indefinite_np,kevés hibát,medium,none,,train_none_000,train
Gyakran [VERB] az egészet.,definite,definite_quantifier,az egészet,tricky,none,,train_none_003,train
Most [VERB] azt a filmet.,definite,demonstrative,azt a filmet,easy,none,,train_none_007,train
Semmifélét Gábor nem [VERB].,indefinite,negative_pronoun,semmifélét,tricky,noun,Gábor,train_noun_023,train
Ezt Péter [VERB].,definite,demonstrative_pronoun,ezt,tricky,noun,Péter,train_noun_034,train
Ma [VERB] több almát.,indefinite,quantified_indefinite_np,több almát,medium,none,,train_none_001,train
A tanár ma [VERB] magát.,definite,third_person_pronoun,magát,tricky,noun,A tanár,train_noun_001,train
Otthon [VERB] bármit.,indefinite,indefinite_pronoun,bármit,easy,none,,train_none_004,train
Otthon [VERB] az autót.,definite,definite_article,az autót,easy,none,,train_none_004,train
Tegnap [VERB] az egészet.,definite,definite_quantifier,az egészet,tricky,none,,train_none_002,train
Mindegyiket [VERB].,definite,definite_quantifier,mindegyiket,tricky,none,,train_none_008,train
Ma [VERB] egy újságot.,indefinite,indefinite_article,egy újságot,easy,none,,train_none_001,train
Egy filmet tegnap [VERB].,indefinite,indefinite_article,egy filmet,easy,none,,train_none_010,train
Minden egyes dolgot [VERB].,indefinite,universal_pronoun,minden egyes dolgot,tricky,none,,train_none_008,train
Újságot a diák [VERB].,indefinite,bare_noun,újságot,easy,noun,A diák,train_noun_010,train
Sok filmet ma Gábor [VERB].,indefinite,quantified_indefinite_np,sok filmet,medium,noun,Gábor,train_noun_047,train
Egy embert sem Katalin nem [VERB].,indefinite,negative_pronoun,egy embert sem,tricky,noun,Katalin,train_noun_020,train
A szülők [VERB] magukat.,definite,third_person_pronoun,magukat,tricky,noun,A szülők,train_noun_054,train
[VERB] könyvet.,indefinite,bare_noun,könyvet,easy,none,,train_none_000,train
Otthon [VERB] mindet.,definite,definite_quantifier,mindet,tricky,none,,train_none_004,train
Sok filmet ma a gyerek [VERB].,indefinite,quantified_indefinite_np,sok filmet,medium,noun,A gyerek,train_noun_017,train
Mi ma [VERB] ezt a feladatot.,definite,demonstrative,ezt a feladatot,easy,pronoun,Mi,train_pronoun_007,train
Most [VERB] egyvalakit.,indefinite,indefinite_pronoun,egyvalakit,tricky,none,,train_none_007,train
Katalin gyakran [VERB] a legtöbbet.,definite,definite_quantifier,a legtöbbet,tricky,noun,Katalin,train_noun_038,train
Újságot ők [VERB].,indefinite,bare_noun,újságot,easy,pronoun,Ők,train_pronoun_011,train
Gyakran [VERB] Annát.,definite,proper_noun,Annát,easy,none,,train_none_003,train
Ezt a feladatot ma [VERB].,definite,demonstrative,ezt a feladatot,easy,none,,train_none_009,train
Katalin gyakran [VERB] a könyvet.,definite,definite_article,a könyvet,easy,noun,Katalin,train_noun_038,train
A tanár [VERB] valamit.,indefinite,indefinite_pronoun,valamit,easy,noun,A tanár,train_noun_000,train
[VERB] magát.,definite,third_person_pronoun,magát,tricky,none,,train_none_000,train
Sok filmet ma [VERB].,indefinite,quantified_indefinite_np,sok filmet,medium,none,,train_none_009,train
Újságot [VERB].,indefinite,bare_noun,újságot,easy,none,,train_none_008,train
A piros labdát ma Anna [VERB].,definite,modified_definite_np,a piros labdát,easy,noun,Anna,train_noun_029,train
Otthon [VERB] autót.,indefinite,bare_noun,autót,easy,none,,train_none_004,train
Minden egyes dolgot tegnap [VERB].,indefinite,universal_pronoun,minden egyes dolgot,tricky,none,,train_none_010,train
[VERB] sok filmet.,indefinite,quantified_indefinite_np,sok filmet,medium,none,,train_none_000,train
Este [VERB] könyvet.,indefinite,bare_noun,könyvet,easy,none,,train_none_006,train
Tegnap [VERB] amazt.,definite,demonstrative_pronoun,amazt,tricky,none,,train_none_002,train
Te [VERB] őket.,definite,third_person_pronoun,őket,easy,pronoun,Te,train_pronoun_003,train
Akárkit gyakran [VERB].,indefinite,indefinite_pronoun,akárkit,tricky,none,,train_none_011,train
A régi házat ma [VERB].,definite,modified_definite_np,a régi házat,easy,none,,train_none_009,train
Kevés hibát [VERB].,indefinite,quantified_indefinite_np,kevés hibát,medium,none,,train_none_008,train
Én [VERB] autót.,indefinite,bare_noun,autót,easy,pronoun,Én,train_pronoun_000,train
A diákok gyakran [VERB] ezt a könyvet.,definite,demonstrative,ezt a könyvet,easy,noun,A diákok,train_noun_050,train
Néhány könyvet mi [VERB].,indefinite,quantified_indefinite_np,néhány könyvet,medium,pronoun,Mi,train_pronoun_008,train
A vacsorát én [VERB].,definite,definite_article,a vacsorát,easy,pronoun,Én,train_pronoun_002,train
Valamit tegnap [VERB].,indefinite,indefinite_pronoun,valamit,easy,none,,train_none_010,train
Azt az üzenetet gyakran [VERB].,definite,demonstrative,azt az üzenetet,easy,none,,train_none_011,train
Egy autót tegnap [VERB].,indefinite,indefinite_article,egy autót,easy,none,,train_none_010,train
Újságot ma [VERB].,indefinite,bare_noun,újságot,easy,none,,train_none_009,train
Valamennyit [VERB].,definite,definite_quantifier,valamennyit,tricky,none,,train_none_008,train
Gábort [VERB].,definite,proper_noun,Gábort,easy,none,,train_none_008,train
Ma [VERB] Annát.,definite,proper_noun,Annát,easy,none,,train_none_001,train
A szomszéd ma [VERB] azt.,definite,demonstrative_pronoun,azt,tricky,noun,A szomszéd,train_noun_019,train
Emezt mi [VERB].,definite,demonstrative_pronoun,emezt,tricky,pronoun,Mi,train_pronoun_008,train
A vacsorát [VERB].,definite,definite_article,a vacsorát,easy,none,,train_none_008,train
Este [VERB] mindegyiket.,definite,definite_quantifier,mindegyiket,tricky,none,,train_none_006,train
Az egészet ma [VERB].,definite,definite_quantifier,az egészet,tricky,none,,train_none_009,train
Otthon [VERB] az összeset.,definite,definite_quantifier,az összeset,tricky,none,,train_none_004,train
Pár kérdést a gyerek [VERB].,indefinite,quantified_indefinite_np,pár kérdést,medium,noun,A gyerek,train_noun_016,train
Este [VERB] a levelet.,definite,definite_article,a levelet,easy,none,,train_none_006,train
Ők [VERB] almát.,indefinite,bare_noun,almát,easy,pronoun,Ők,train_pronoun_009,train
A legtöbbet tegnap [VERB].,definite,definite_quantifier,a legtöbbet,tricky,none,,train_none_010,train
A diák gyakran [VERB] Pétert.,definite,proper_noun,Pétert,easy,noun,A diák,train_noun_008,train
Péter [VERB] az almát.,definite,definite_article,az almát,easy,noun,Péter,train_noun_030,train
Gyakran [VERB] a régi házat.,definite,modified_definite_np,a régi házat,easy,none,,train_none_003,train
Azt a diákok [VERB].,definite,demonstrative_pronoun,azt,tricky,noun,A diákok,train_noun_052,train
[VERB] az autót.,definite,definite_article,az autót,easy,none,,train_none_000,train
Egy dolgot sem nem [VERB].,indefinite,negative_pronoun,egy dolgot sem,tricky,none,,train_none_003,train
Most [VERB] az új telefont.,definite,modified_definite_np,az új telefont,easy,none,,train_none_007,train
Egy könyvet ma [VERB].,indefinite,indefinite_article,egy könyvet,easy,none,,train_none_009,train
Egy almát [VERB].,indefinite,indefinite_article,egy almát,easy,none,,train_none_008,train
Gyakran [VERB] Gábort.,definite,proper_noun,Gábort,easy,none,,train_none_003,train
Ezt gyakran [VERB].,definite,demonstrative_pronoun,ezt,tricky,none,,train_none_011,train
[VERB] az újságot.,definite,definite_article,az újságot,easy,none,,train_none_000,train
Gyakran [VERB] mindkettőt.,definite,definite_quantifier,mindkettőt,tricky,none,,train_none_003,train
Akármit a gyerek [VERB].,indefinite,indefinite_pronoun,akármit,tricky,noun,A gyerek,train_noun_016,train
Reggel [VERB] az újságot.,definite,definite_article,az újságot,easy,none,,train_none_005,train
Este [VERB] az egészet.,definite,definite_quantifier,az egészet,tricky,none,,train_none_006,train
A szülők gyakran [VERB] néhányat.,indefinite,indefinite_pronoun,néhányat,tricky,noun,A szülők,train_noun_056,train
Azt tegnap [VERB].,definite,demonstrative_pronoun,azt,tricky,none,,train_none_010,train
Gyakran [VERB] Katalint.,definite,proper_noun,Katalint,easy,none,,train_none_003,train
[VERB] mindegyiket.,definite,definite_quantifier,mindegyiket,tricky,none,,train_none_000,train
A diák [VERB] azt.,definite,demonstrative_pronoun,azt,tricky,noun,A diák,train_noun_006,train
Tegnap [VERB] mindent.,indefinite,universal_pronoun,mindent,tricky,none,,train_none_002,train
A gyerek gyakran [VERB] ezt az almát.,definite,demonstrative,ezt az almát,easy,noun,A gyerek,train_noun_014,train
A szülők [VERB] magát.,definite,third_person_pronoun,magát,tricky,noun,A szülők,train_noun_054,train
Előadást tegnap [VERB].,indefinite,bare_noun,előadást,easy,none,,train_none_010,train
Tegnap [VERB] akármit.,indefinite,indefinite_pronoun,akármit,tricky,none,,train_none_002,train
Tegnap [VERB] több almát.,indefinite,quantified_indefinite_np,több almát,medium,none,,train_none_002,train
A szülők gyakran [VERB] mindet.,definite,definite_quantifier,mindet,tricky,noun,A szülők,train_noun_056,train
Most [VERB] valamit.,indefinite,indefinite_pronoun,valamit,easy,none,,train_none_007,train
Mindkettőt gyakran [VERB].,definite,definite_quantifier,mindkettőt,tricky,none,,train_none_011,train
Annát tegnap [VERB].,definite,proper_noun,Annát,easy,none,,train_none_010,train
Mindet gyakran [VERB].,definite,definite_quantifier,mindet,tricky,none,,train_none_011,train
Egy újságot gyakran [VERB].,indefinite,indefinite_article,egy újságot,easy,none,,train_none_011,train
A gyerek az iskolában [VERB] a többit.,definite,definite_quantifier,a többit,tricky,noun,A gyerek,train_noun_015,train
Magukat gyakran [VERB].,definite,third_person_pronoun,magukat,tricky,none,,train_none_011,train
Tegnap [VERB] az összeset.,definite,definite_quantifier,az összeset,tricky,none,,train_none_002,train
Mindent [VERB].,indefinite,universal_pronoun,mindent,tricky,none,,train_none_008,train
Több almát ma [VERB].,indefinite,quantified_indefinite_np,több almát,medium,none,,train_none_009,train
A diákok [VERB] egyvalakit.,indefinite,indefinite_pronoun,egyvalakit,tricky,noun,A diákok,train_noun_048,train
Este [VERB] több almát.,indefinite,quantified_indefinite_np,több almát,medium,none,,train_none_006,train
Azt a gyerek [VERB].,definite,demonstrative_pronoun,azt,tricky,noun,A gyerek,train_noun_016,train
Most [VERB] amazt.,definite,demonstrative_pronoun,amazt,tricky,none,,train_none_007,train
Gábort ma a tanár [VERB].,definite,proper_noun,Gábort,easy,noun,A tanár,train_noun_005,train
Otthon [VERB] vacsorát.,indefinite,bare_noun,vacsorát,easy,none,,train_none_004,train
Gábor az iskolában [VERB] almát.,indefinite,bare_noun,almát,easy,noun,Gábor,train_noun_045,train
Azt [VERB].,definite,demonstrative_pronoun,azt,tricky,none,,train_none_008,train
Gyakran [VERB] több almát.,indefinite,quantified_indefinite_np,több almát,medium,none,,train_none_003,train
Akárkit ma a szomszéd [VERB].,indefinite,indefinite_pronoun,akárkit,tricky,noun,A szomszéd,train_noun_023,train
Nem [VERB] senkit.,indefinite,negative_pronoun,senkit,tricky,none,,train_none_000,train
Esztert ma [VERB].,definite,proper_noun,Esztert,easy,none,,train_none_009,train
Otthon [VERB] emezt.,definite,demonstrative_pronoun,emezt,tricky,none,,train_none_004,train
[VERB] a könyvet.,definite,definite_article,a könyvet,easy,none,,train_none_000,train
Péter az iskolában [VERB] amazt.,definite,demonstrative_pronoun,amazt,tricky,noun,Péter,train_noun_033,train
[VERB] a filmet.,definite,definite_article,a filmet,easy,none,,train_none_000,train
Most [VERB] mindenfélét.,indefinite,universal_pronoun,mindenfélét,tricky,none,,train_none_007,train
Én [VERB] egyvalakit.,indefinite,indefinite_pronoun,egyvalakit,tricky,pronoun,Én,train_pronoun_000,train
A szülők az iskolában [VERB] egy filmet.,indefinite,indefinite_article,egy filmet,easy,noun,A szülők,train_noun_057,train
A gyerek ma [VERB] Annát.,definite,proper_noun,Annát,easy,noun,A gyerek,train_noun_013,train
Tegnap [VERB] egy vacsorát.,indefinite,indefinite_article,egy vacsorát,easy,none,,train_none_002,train
Semmit Anna nem [VERB].,indefinite,negative_pronoun,semmit,tricky,noun,Anna,train_noun_014,train
Otthon [VERB] mindenkit.,indefinite,universal_pronoun,mindenkit,tricky,none,,train_none_004,train
Anna gyakran [VERB] azt.,definite,demonstrative_pronoun,azt,tricky,noun,Anna,train_noun_026,train
Este [VERB] az új telefont.,definite,modified_definite_np,az új telefont,easy,none,,train_none_006,train
Magukat ma [VERB].,definite,third_person_pronoun,magukat,tricky,none,,train_none_009,train
Most [VERB] almát.,indefinite,bare_noun,almát,easy,none,,train_none_007,train
A szülők [VERB] akárkit.,indefinite,indefinite_pronoun,akárkit,tricky,noun,A szülők,train_noun_054,train
A diákok az iskolában [VERB] vacsorát.,indefinite,bare_noun,vacsorát,easy,noun,A diákok,train_noun_051,train
Tegnap [VERB] ezt.,definite,demonstrative_pronoun,ezt,tricky,none,,train_none_002,train
Egy embert sem nem [VERB].,indefinite,negative_pronoun,egy embert sem,tricky,none,,train_none_003,train
Ezt ők [VERB].,definite,demonstrative_pronoun,ezt,tricky,pronoun,Ők,train_pronoun_011,train
Este [VERB] akárkit.,indefinite,indefinite_pronoun,akárkit,tricky,none,,train_none_006,train
Reggel [VERB] valamit.,indefinite,indefinite_pronoun,valamit,easy,none,,train_none_005,train
Tegnap [VERB] az újságot.,definite,definite_article,az újságot,easy,none,,train_none_002,train
A gyerek [VERB] emezt.,definite,demonstrative_pronoun,emezt,tricky,noun,A gyerek,train_noun_012,train
Semmifélét a gyerek nem [VERB].,indefinite,negative_pronoun,semmifélét,tricky,noun,A gyerek,train_noun_008,train
Egyvalakit gyakran [VERB].,indefinite,indefinite_pronoun,egyvalakit,tricky,none,,train_none_011,train
A tanár [VERB] amazt.,definite,demonstrative_pronoun,amazt,tricky,noun,A tanár,train_noun_000,train
Katalin gyakran [VERB] egy vacsorát.,indefinite,indefinite_article,egy vacsorát,easy,noun,Katalin,train_noun_038,train
Tegnap [VERB] előadást.,indefinite,bare_noun,előadást,easy,none,,train_none_002,train
Gyakran [VERB] egyvalakit.,indefinite,indefinite_pronoun,egyvalakit,tricky,none,,train_none_003,train
Tegnap [VERB] az almát.,definite,definite_article,az almát,easy,none,,train_none_002,train
Könyvet [VERB].,indefinite,bare_noun,könyvet,easy,none,,train_none_008,train
A diák nem [VERB] semmifélét.,indefinite,negative_pronoun,semmifélét,tricky,noun,A diák,train_noun_003,train
Mindenfélét ma a gyerek [VERB].,indefinite,universal_pronoun,mindenfélét,tricky,noun,A gyerek,train_noun_017,train
A többit a szomszéd [VERB].,definite,definite_quantifier,a többit,tricky,noun,A szomszéd,train_noun_022,train
A piros labdát Péter [VERB].,definite,modified_definite_np,a piros labdát,easy,noun,Péter,train_noun_034,train
Reggel [VERB] egy könyvet.,indefinite,indefinite_article,egy könyvet,easy,none,,train_none_005,train
Ők [VERB] azt az üzenetet.,definite,demonstrative,azt az üzenetet,easy,pronoun,Ők,train_pronoun_009,train
Gyakran [VERB] az utolsó kérdést.,definite,modified_definite_np,az utolsó kérdést,easy,none,,train_none_003,train
Este [VERB] ezt a feladatot.,definite,demonstrative,ezt a feladatot,easy,none,,train_none_006,train
Te ma nem [VERB] egy embert sem.,indefinite,negative_pronoun,egy embert sem,tricky,pronoun,Te,train_pronoun_004,train
Péter gyakran [VERB] ezt.,definite,demonstrative_pronoun,ezt,tricky,noun,Péter,train_noun_032,train
A vacsorát gyakran [VERB].,definite,definite_article,a vacsorát,easy,none,,train_none_011,train
Otthon [VERB] egyvalakit.,indefinite,indefinite_pronoun,egyvalakit,tricky,none,,train_none_004,train
Tegnap [VERB] a vacsorát.,definite,definite_article,a vacsorát,easy,none,,train_none_002,train
Néhányat mi [VERB].,indefinite,indefinite_pronoun,néhányat,tricky,pronoun,Mi,train_pronoun_008,train
Katalin [VERB] mindkettőt.,definite,definite_quantifier,mindkettőt,tricky,noun,Katalin,train_noun_036,train
Ma [VERB] valamennyit.,definite,definite_quantifier,valamennyit,tricky,none,,train_none_001,train
Este [VERB] autót.,indefinite,bare_noun,autót,easy,none,,train_none_006,train
Esztert gyakran [VERB].,definite,proper_noun,Esztert,easy,none,,train_none_011,train
Ma [VERB] az újságot.,definite,definite_article,az újságot,easy,none,,train_none_001,train
Gyakran [VERB] azt.,definite,demonstrative_pronoun,azt,tricky,none,,train_none_003,train
Este [VERB] magát.,definite,third_person_pronoun,magát,tricky,none,,train_none_006,train
Gyakran [VERB] autót.,indefinite,bare_noun,autót,easy,none,,train_none_003,train
Este [VERB] mindenkit.,indefinite,universal_pronoun,mindenkit,tricky,none,,train_none_006,train
Ezt a könyvet ma [VERB].,definite,demonstrative,ezt a könyvet,easy,none,,train_none_009,train
A szülők ma [VERB] egy újságot.,indefinite,indefinite_article,egy újságot,easy,noun,A szülők,train_noun_055,train
Pár kérdést ők [VERB].,indefinite,quantified_indefinite_np,pár kérdést,medium,pronoun,Ők,train_pronoun_011,train
Valamennyit tegnap [VERB].,definite,definite_quantifier,valamennyit,tricky,none,,train_none_010,train
Reggel [VERB] előadást.,indefinite,bare_noun,előadást,easy,none,,train_none_005,train
Egy vacsorát tegnap [VERB].,indefinite,indefinite_article,egy vacsorát,easy,none,,train_none_010,train
A vacsorát te [VERB].,definite,definite_article,a vacsorát,easy,pronoun,Te,train_pronoun_005,train
Ma [VERB] Lászlót.,definite,proper_noun,Lászlót,easy,none,,train_none_001,train
Este [VERB] vacsorát.,indefinite,bare_noun,vacsorát,easy,none,,train_none_006,train
Reggel [VERB] bárkit.,indefinite,indefinite_pronoun,bárkit,easy,none,,train_none_005,train
Mindkettőt ma a diákok [VERB].,definite,definite_quantifier,mindkettőt,tricky,noun,A diákok,train_noun_053,train
Katalin az iskolában [VERB] az új telefont.,definite,modified_definite_np,az új telefont,easy,noun,Katalin,train_noun_039,train
Otthon [VERB] mindent.,indefinite,universal_pronoun,mindent,tricky,none,,train_none_004,train
Gábor az iskolában [VERB] egy vacsorát.,indefinite,indefinite_article,egy vacsorát,easy,noun,Gábor,train_noun_045,train
Azt a filmet gyakran [VERB].,definite,demonstrative,azt a filmet,easy,none,,train_none_011,train
Este [VERB] egy autót.,indefinite,indefinite_article,egy autót,easy,none,,train_none_006,train
Ma [VERB] azt.,definite,demonstrative_pronoun,azt,tricky,none,,train_none_001,train
Minden egyes dolgot ma [VERB].,indefinite,universal_pronoun,minden egyes dolgot,tricky,none,,train_none_009,train
Katalin [VERB] egy vacsorát.,indefinite,indefinite_article,egy vacsorát,easy,noun,Katalin,train_noun_036,train
Ma [VERB] a többit.,definite,definite_quantifier,a többit,tricky,none,,train_none_001,train
Otthon [VERB] őket.,definite,third_person_pronoun,őket,easy,none,,train_none_004,train
Reggel [VERB] Lászlót.,definite,proper_noun,Lászlót,easy,none,,train_none_005,train
Akármit a tanár [VERB].,indefinite,indefinite_pronoun,akármit,tricky,noun,A tanár,train_noun_004,train
Emezt gyakran [VERB].,definite,demonstrative_pronoun,emezt,tricky,none,,train_none_011,train
Tegnap [VERB] autót.,indefinite,bare_noun,autót,easy,none,,train_none_002,train
Egyvalakit ma [VERB].,indefinite,indefinite_pronoun,egyvalakit,tricky,none,,train_none_009,train
Az egészet ma a gyerek [VERB].,definite,definite_quantifier,az egészet,tricky,noun,A gyerek,train_noun_017,train
Könyvet tegnap [VERB].,indefinite,bare_noun,könyvet,easy,none,,train_none_010,train
A könyvet a szomszéd [VERB].,definite,definite_article,a könyvet,easy,noun,A szomszéd,train_noun_022,train
Otthon [VERB] magukat.,definite,third_person_pronoun,magukat,tricky,none,,train_none_004,train
Otthon [VERB] Annát.,definite,proper_noun,Annát,easy,none,,train_none_004,train
Gyakran [VERB] ezt az almát.,definite,demonstrative,ezt az almát,easy,none,,train_none_003,train
Otthon [VERB] néhány levelet.,indefinite,quantified_indefinite_np,néhány levelet,medium,none,,train_none_004,train
Amazt ők [VERB].,definite,demonstrative_pronoun,amazt,tricky,pronoun,Ők,train_pronoun_011,train
Gyakran [VERB] ezt.,definite,demonstrative_pronoun,ezt,tricky,none,,train_none_003,train
Reggel [VERB] a piros labdát.,definite,modified_definite_np,a piros labdát,easy,none,,train_none_005,train
Gábort tegnap [VERB].,definite,proper_noun,Gábort,easy,none,,train_none_010,train
Egy autót ma [VERB].,indefinite,indefinite_article,egy autót,easy,none,,train_none_009,train
[VERB] ezt.,definite,demonstrative_pronoun,ezt,tricky,none,,train_none_000,train
Egy újságot [VERB].,indefinite,indefinite_article,egy újságot,easy,none,,train_none_008,train
Mindent gyakran [VERB].,indefinite,universal_pronoun,mindent,tricky,none,,train_none_011,train
Tegnap [VERB] valamennyit.,definite,definite_quantifier,valamennyit,tricky,none,,train_none_002,train
